"","x"
"name","Title of dataset"
"essround","ESS round"
"edition","Edition"
"proddate","Production date"
"idno","Respondent's identification number"
"cntry","Country"
"nwspol","News about politics and current affairs, watching, reading or listening, in minutes"
"netusoft","Internet use, how often"
"netustm","Internet use, how much time on typical day, in minutes"
"ppltrst","Most people can be trusted or you can't be too careful"
"pplfair","Most people try to take advantage of you, or try to be fair"
"pplhlp","Most of the time people helpful or mostly looking out for themselves"
"polintr","How interested in politics"
"psppsgva","Political system allows people to have a say in what government does"
"actrolga","Able to take active role in political group"
"psppipla","Political system allows people to have influence on politics"
"cptppola","Confident in own ability to participate in politics"
"trstprl","Trust in country's parliament"
"trstlgl","Trust in the legal system"
"trstplc","Trust in the police"
"trstplt","Trust in politicians"
"trstprt","Trust in political parties"
"trstep","Trust in the European Parliament"
"trstun","Trust in the United Nations"
"vote","Voted last national election"
"prtvtbat","Party voted for in last national election, Austria"
"prtvtcbe","Party voted for in last national election, Belgium"
"prtvtfch","Party voted for in last national election, Switzerland"
"prtvtdcz","Party voted for in last national election, Czechia"
"prtvede1","Party voted for in last national election 1, Germany"
"prtvede2","Party voted for in last national election 2, Germany"
"prtvtfee","Party voted for in last national election, Estonia"
"prtvtdes","Party voted for in last national election, Spain"
"prtvtdfi","Party voted for in last national election, Finland"
"prtvtcfr","Party voted for in last national election, France (ballot 1)"
"prtvtbgb","Party voted for in last national election, United Kingdom"
"prtvtehu","Party voted for in last national election, Hungary"
"prtvtbie","Party voted for in last national election, Ireland"
"prtvtcil","Party voted for in last national election, Israel"
"prtvtbis","Party voted for in last national election, Iceland"
"prtvtbit","Party voted for in last national election, Italy"
"prtvblt1","Party voted for in last national election 1, Lithuania (first vote, party)"
"prtvblt2","Party voted for in last national election 2, Lithuania (second vote, party)"
"prtvblt3","Party voted for in last national election 3, Lithuania (third vote, party)"
"prtvtfnl","Party voted for in last national election, Netherlands"
"prtvtbno","Party voted for in last national election, Norway"
"prtvtdpl","Party voted for in last national election, Poland"
"prtvtcpt","Party voted for in last national election, Portugal"
"prtvtdru","Party voted for in last national election, Russian Federation"
"prtvtbse","Party voted for in last national election, Sweden"
"prtvtesi","Party voted for in last national election, Slovenia"
"contplt","Contacted politician or government official last 12 months"
"wrkprty","Worked in political party or action group last 12 months"
"wrkorg","Worked in another organisation or association last 12 months"
"badge","Worn or displayed campaign badge/sticker last 12 months"
"sgnptit","Signed petition last 12 months"
"pbldmn","Taken part in lawful public demonstration last 12 months"
"bctprd","Boycotted certain products last 12 months"
"pstplonl","Posted or shared anything about politics online last 12 months"
"clsprty","Feel closer to a particular party than all other parties"
"prtclcat","Which party feel closer to, Austria"
"prtclcbe","Which party feel closer to, Belgium"
"prtclfch","Which party feel closer to, Switzerland"
"prtcldcz","Which party feel closer to, Czechia"
"prtclede","Which party feel closer to, Germany"
"prtclfee","Which party feel closer to, Estonia"
"prtclees","Which party feel closer to, Spain"
"prtcldfi","Which party feel closer to, Finland"
"prtclefr","Which party feel closer to, France"
"prtclbgb","Which party feel closer to, United Kingdom"
"prtclfhu","Which party feel closer to, Hungary"
"prtcldie","Which party feel closer to, Ireland"
"prtcldil","Which party feel closer to, Israel"
"prtclbis","Which party feel closer to, Iceland"
"prtclcit","Which party feel closer to, Italy"
"prtclblt","Which party feel closer to, Lithuania"
"prtclenl","Which party feel closer to, Netherlands"
"prtclbno","Which party feel closer to, Norway"
"prtclgpl","Which party feel closer to, Poland"
"prtclept","Which party feel closer to, Portugal"
"prtcldru","Which party feel closer to, Russian Federation"
"prtclbse","Which party feel closer to, Sweden"
"prtclesi","Which party feel closer to, Slovenia"
"prtdgcl","How close to party"
"lrscale","Placement on left right scale"
"stflife","How satisfied with life as a whole"
"stfeco","How satisfied with present state of economy in country"
"stfgov","How satisfied with the national government"
"stfdem","How satisfied with the way democracy works in country"
"stfedu","State of education in country nowadays"
"stfhlth","State of health services in country nowadays"
"gincdif","Government should reduce differences in income levels"
"mnrgtjb","Men should have more right to job than women when jobs are scarce"
"freehms","Gays and lesbians free to live life as they wish"
"hmsfmlsh","Ashamed if close family member gay or lesbian"
"hmsacld","Gay and lesbian couples right to adopt children"
"euftf","European Union: European unification go further or gone too far"
"imsmetn","Allow many/few immigrants of same race/ethnic group as majority"
"imdfetn","Allow many/few immigrants of different race/ethnic group from majority"
"impcntr","Allow many/few immigrants from poorer countries outside Europe"
"imbgeco","Immigration bad or good for country's economy"
"imueclt","Country's cultural life undermined or enriched by immigrants"
"imwbcnt","Immigrants make country worse or better place to live"
"happy","How happy are you"
"sclmeet","How often socially meet with friends, relatives or colleagues"
"inprdsc","How many people with whom you can discuss intimate and personal matters"
"sclact","Take part in social activities compared to others of same age"
"crmvct","Respondent or household member victim of burglary/assault last 5 years"
"aesfdrk","Feeling of safety of walking alone in local area after dark"
"health","Subjective general health"
"hlthhmp","Hampered in daily activities by illness/disability/infirmity/mental problem"
"atchctr","How emotionally attached to [country]"
"atcherp","How emotionally attached to Europe"
"rlgblg","Belonging to particular religion or denomination"
"rlgdnm","Religion or denomination belonging to at present"
"rlgdnbat","Religion or denomination belonging to at present, Austria"
"rlgdnbe","Religion or denomination belonging to at present, Belgium"
"rlgdnach","Religion or denomination belonging to at present, Switzerland"
